,Sender,count,enrichment/depletion
0,B cells,190,4.105242980462469
1,Basophils,18,3.532027773224899
2,Capsule fibroblasts,77,-2.2907267494205774
3,Central Vein Endothelial cells,11,-3.3882425282493354
4,Cholangiocytes,112,-10.645184636509747
5,Fibroblast,24,-6.348673907950689
6,Hepatocytes_central,4025,2.3134339266647608
7,Hepatocytes_portal,3494,4.641552465497026
8,ILC1s,161,-1.9039139596676546
9,KCs,1138,0.4358913485549558
10,LSECs_central,374,-1.4864886141995626
11,LSECs_portal,719,1.513873709014738
12,Lymphatic Endothelial cells,41,-1.2400576143373117
13,Mesothelial cells,0,-2.6412994250295103
14,Mig. cDCs,12,-1.5202668877541852
15,MoMac1,6,-1.6685412409672826
16,MoMac2,0,-1.2853230870592447
17,Monocytes,28,0.7696048616663207
18,NK cells,4,-0.4821797651579163
19,Neutrophils,131,-0.499590857122402
20,Portain Vein Endothelial cells,54,-8.552483280881297
21,Stellate cells,2,-1.3239406361260144
22,Stellate cells_central,170,10.730347733328461
23,Stellate cells_portal,743,12.308019588229405
24,T cells,308,3.850461220570364
25,VSMCs,383,3.653709021642313
26,cDC1s,60,0.9082430985362354
27,cDC2s,1,-1.1796883094343378
28,pDCs,18,0.4658426549294435
